WF_Time,TF-IDF Time,TR- Time,WFI_Time,WF_Precision,TF-IDF Precision,TR- Precision,WFI_Precision,WF_Recal,TF-IDF Recal,TR- Recal,WFI_Recal,WF_F-Measure,TF-IDF F-Measure,TR- F-Measure,WFI_F-Measure
0.0016183,0.009683,0.0040517,0.0016817,0.102040816,0.020408163,0.571428571,0.408163265,0.15625,0.012987013,0.108108108,0.465116279,0.12345679,0.015873016,0.181818182,0.434782609
0.0013406,0.0076593,0.0033393,0.001351,0.04,0.04,0.96,0,0.05,0.026315789,0.108597285,0,0.044444444,0.031746032,0.195121951,0
0.0008264,0.0046681,0.0022964,0.0008692,0,0,0.03030303,0,0,0,0.006802721,0,0,0,0.011111111,0
0.0011114,0.0060363,0.0026261,0.0011578,0.029411765,0,0.823529412,0,0.034482759,0,0.125560538,0,0.031746032,0,0.217898833,0
0.001342,0.0086175,0.0033114,0.0014026,0,0.023255814,0.069767442,0,0,0.026315789,0.011857708,0,0,0.024691358,0.02027027,0
0.0016409,0.0095973,0.0036782,0.0016407,0.07967033,0.118131868,0.686813187,0.10989011,0.935483871,0.934782609,0.946969697,0.952380952,0.146835443,0.209756098,0.796178344,0.197044335
0.0006476,0.0033747,0.0017289,0.0006631,0,0.038461538,0.038461538,0,0,0.025,0.009090909,0,0,0.03030303,0.014705882,0
0.0009806,0.0066257,0.0023623,0.0010127,0,0,0.020408163,0.020408163,0,0,0.004830918,0.02,0,0,0.0078125,0.02020202
0.0011063,0.0066894,0.0032246,0.0012066,0.042553191,0,0.042553191,0,0.068965517,0,0.009433962,0,0.052631579,0,0.015444015,0
0.0011826,0.0064458,0.0029711,0.0012154,0,0.017241379,0.155172414,0.034482759,0,0.058823529,0.042253521,0.060606061,0,0.026666667,0.066420664,0.043956044
0.001059,0.0058333,0.0027196,0.0011162,0.03030303,0,0.96969697,0.96969697,0.032258065,0,0.157635468,0.96969697,0.03125,0,0.271186441,0.96969697
0.0013904,0.0070176,0.0026626,0.0014298,0.015151515,0.03030303,0,0.03030303,0.037037037,0.017391304,0,0.066666667,0.021505376,0.022099448,0,0.041666667
0.0018749,0.0108887,0.0041578,0.0019379,0.026666667,0.013333333,0.986666667,0.026666667,0.095238095,0.016949153,0.285714286,0.095238095,0.041666667,0.014925373,0.443113772,0.041666667
0.0012028,0.005275,0.0017621,0.0012025,0,0.130434783,0,0,0,0.236842105,0,0,0,0.168224299,0,0
0.0008717,0.0044633,0.0021288,0.000906,0.323529412,0.632352941,0.926470588,0.25,0.594594595,0.623188406,0.398734177,0.5,0.419047619,0.627737226,0.557522124,0.333333333
0.000805,0.0042688,0.0020367,0.0008273,0.952380952,0.285714286,0.952380952,0.285714286,0.909090909,0.130434783,0.142857143,0.162162162,0.930232558,0.179104478,0.248447205,0.206896552
0.0028335,0.01344,0.0056851,0.0030292,0.029411765,0,0.058823529,0.485294118,0.068965517,0,0.013289037,0.868421053,0.041237113,0,0.021680217,0.622641509
0.001581,0.0068904,0.0028531,0.0016068,0,0.52173913,0.927536232,0.405797101,0,0.428571429,0.26446281,0.933333333,0,0.470588235,0.411575563,0.565656566
0.0015522,0.0070602,0.0031215,0.0016107,0,0.672131148,0.901639344,0.016393443,0,0.238372093,0.213178295,0.023809524,0,0.35193133,0.344827586,0.019417476
0.0013724,0.0059314,0.0021643,0.001499,0.014925373,0.567164179,0,0.014925373,0.045454545,0.206521739,0,0.045454545,0.02247191,0.302788845,0,0.02247191
0.0038155,0.0162395,0.0120781,0.0038836,0.277777778,0.027777778,0.763888889,0.277777778,0.909090909,0.023255814,0.205223881,0.909090909,0.425531915,0.025316456,0.323529412,0.425531915
0.0024935,0.0124969,0.00515,0.0025593,0.169014085,0.042253521,0.647887324,0.169014085,0.444444444,0.04,0.191666667,0.444444444,0.244897959,0.04109589,0.295819936,0.244897959
0.0021113,0.009936,0.0042249,0.0022416,0.048780488,0.024390244,0.731707317,0.43902439,0.133333333,0.045454545,0.28708134,0.947368421,0.071428571,0.031746032,0.412371134,0.6
0.0012187,0.0067644,0.0028872,0.0012337,0.025316456,0.746835443,0.936708861,0.46835443,0.08,0.393333333,0.313559322,0.948717949,0.038461538,0.515283843,0.46984127,0.627118644
0.0021631,0.0103623,0.0041924,0.0022285,0.027027027,0.135135135,0.743243243,0,0.090909091,0.555555556,0.150273224,0,0.041666667,0.217391304,0.25,0
0.0029401,0.0149741,0.0069344,0.0031265,0,0.228571429,0.6,0,0,0.084210526,0.159090909,0,0,0.123076923,0.251497006,0
0.011702,0.0299695,0.0130355,0.0120255,0.346153846,0.051282051,0.615384615,0.051282051,0.964285714,0.04040404,0.204255319,0.093023256,0.509433962,0.04519774,0.306709265,0.066115702
0.0014734,0.0074273,0.0032591,0.0014442,0.014084507,0.028169014,0.901408451,0.338028169,0.035714286,0.023809524,0.244274809,0.705882353,0.02020202,0.025806452,0.384384384,0.457142857
0.0017143,0.0089307,0.0033309,0.0017492,0.086956522,0.028985507,0.927536232,0.434782609,0.2,0.047619048,0.237918216,0.967741935,0.121212121,0.036036036,0.378698225,0.6
0.0040389,0.0162641,0.0075309,0.0040492,0,0.0375,0.45,0.4625,0,0.02173913,0.141732283,0.973684211,0,0.027522936,0.215568862,0.627118644
0.0055301,0.01902,0.0079432,0.0059481,0.014492754,0.014492754,0.884057971,0.014492754,0.035714286,0.04,0.154040404,0.024390244,0.020618557,0.021276596,0.262365591,0.018181818
0.0044695,0.015872,0.0067815,0.0045446,0,0,0.5,0.031914894,0,0,0.165492958,0.066666667,0,0,0.248677249,0.043165468
